"Jun 25, 2018 ",32.864730,-96.939560,481130142062002,Block 2002,2,225 e john carpenter fwy,irving,75062,tx,55,Somewhat Walkable,,,nan,nan,7180sqft,2850sqftyr, Office ,",Floors,16,Total,Size,349,436,sqft,Lot,Size,352,165,sqft,Parking,Ratio,4,1000,Year,Constructed,1979,Year,Renovated,2016,Building,Class,A,Construction,Type,Steel,Glass,Close,Public,Transit,DART,Rail,Station,Gym,Onsite,Parking,",16,349436sqft,352165sqft,4 1000,1979,A,nan,59146.0,0.19,0.10078,0.37519,0.25116,0.24806,0.0248,0.8837,0.5462,https://42floors.com/us/tx/irving/225-e-john-carpenter-fwy
"Jun 14, 2018 ",32.935410,-96.813630,481130136261000,Block 1000,1,13747 montfort dr,dallas,75240,tx,58,Somewhat Walkable,,,49,Somewhat Bikeable,55450sqft,NotProvided, Office ,",Floors,3,Total,Size,78,000,sqft,Year,Constructed,1980,Year,Renovated,2004,Building,Class,B,Construction,Type,Brick,Wood,Glass,Close,Highway,s,I,635,Close,To,Galleria,and,Valley,View,mall,Onsite,Parking,Parking,Garage,Lobby,Attendant,",3,78000sqft,nan,nan,1980,B,nan,22480.0,0.19,0.53014,0.22875,0.24111,0.0,0.0,0.7372,0.5515,https://42floors.com/us/tx/dallas/13747-montfort-dr
"Jul 26, 2018 ",32.944530,-96.823074,481130136163005,Block 3005,3,14643 dallas pkwy,dallas,75254,tx,63,Somewhat Walkable,nan,nan,47,Somewhat Bikeable,3020sqft,2300sqftyr, Office ,",Floors,10,Total,Size,210,465,sqft,Lot,Size,3,acres,Parking,Ratio,3,1000,Elevators,4,Year,Constructed,1986,Building,Class,A,Construction,Type,Steel,Concrete,Close,Public,Transit,DART,Close,Highway,s,I,635,Onsite,Parking,Parking,Garage,Key,Card,Access,Freight,Elevator,On,Site,Security,",10,210465sqft,3acres,3 1000,1986,A,nan,29154.0,0.19,0.36118,0.35219,0.17481,0.08226,0.0296,0.6176,0.3079,https://42floors.com/us/tx/dallas/14643-dallas-pkwy
"Apr 02, 2018 ",33.009857,-96.681300,480850319002045,Block 2045,2,2552 summit ave,plano,75074,tx,36,Car-Dependent,,,57,Bikeable,9950sqft,725sqftyr, Sublease Industrial Office ,",Total,Size,47,550,sqft,Parking,Ratio,3,3,1000,Year,Constructed,1986,Close,Highway,s,US,75,Onsite,Parking,",nan,47550sqft,nan,33 1000,1986,nan,nan,47981.0,0.077,0.19552,0.33624,0.34122,0.12702,0.0,0.5638,0.1556,https://42floors.com/us/tx/plano/2552-summit-ave
"Jul 26, 2018 ",32.881046,-96.888160,481130099002289,Block 2289,2,2639 walnut hill ln,dallas,75229,tx,37,Car-Dependent,,,47,Somewhat Bikeable,1720sqft,NotProvided, Office ,",Total,Size,54,000,sqft,Building,Class,Close,Highway,s,I,35,Route,635,Close,To,Dallas,Fort,Worth,International,Airport,Dallas,Love,Field,",nan,54000sqft,nan,nan,nan,,nan,43446.0,0.19,0.21429,0.46429,0.21059,0.09113,0.0197,0.4034,0.1151,https://42floors.com/us/tx/dallas/2639-walnut-hill-ln
"Apr 04, 2018 ",32.790990,-96.769684,481130015022007,Block 2007,2,4325 elm st,dallas,75226,tx,73,Very Walkable,,,71,Very Bikeable,2070sqft,1100sqftyr, Live Work ,",Floors,2,Lot,Size,4,350,sqft,Zoning,Commercial,Service,Districk,Year,Constructed,1913,Year,Renovated,2015,Onsite,Parking,",2,nan,4350sqft,nan,1913,nan,CommercialServiceDistrick,30623.0,0.19,0.42373,0.24294,0.31638,0.01695,0.0,0.3673,0.0618,https://42floors.com/us/tx/dallas/4325-elm-st
"Jul 17, 2018 ",33.027510,-96.840290,480850316472048,Block 2048,2,6509 w park blvd,plano,75093,tx,47,Car-Dependent,nan,nan,43,Somewhat Bikeable,3620sqft,736sqftyr, Retail ,",Total,Size,101,167,sqft,",nan,101167sqft,nan,nan,nan,nan,nan,75388.0,0.077,0.03766,0.19227,0.39049,0.24182,0.1378,0.9779,0.6434,https://42floors.com/us/tx/plano/6509-w-park-blvd
"Jun 12, 2018 ",32.924393,-96.799370,481130132001003,Block 1003,1,6200 lyndon b johnson fwy,dallas,75244,tx,44,Car-Dependent,,,40,Somewhat Bikeable,22390sqft,NotProvided, Office ,",Floors,2,Total,Size,51,460,sqft,Lot,Size,3,acres,Parking,Ratio,1,333,Year,Constructed,1985,Building,Class,B,Onsite,Parking,Parking,Garage,",2,51460sqft,3acres,1 333,1985,B,nan,111439.0,0.19,0.13036,0.08746,0.16007,0.38284,0.2393,0.9706,0.5344,https://42floors.com/us/tx/dallas/6200-lyndon-b-johnson-fwy
"Jul 31, 2018 ",32.938720,-96.821760,481130136262002,Block 2002,2,14114 dallas pkwy,dallas,75240,tx,62,Somewhat Walkable,,,47,Somewhat Bikeable,2410sqft,1500sqftyr, Office ,",Total,Size,95,407,sqft,Parking,Ratio,3,33,1000,Zoning,PD,Year,Constructed,1980,Building,Class,B,Close,Highway,s,I,635,Close,To,Addison,Airport,Galleria,Dallas,The,Galleria,Onsite,Parking,Parking,Garage,Key,Card,Access,On,Site,Security,",nan,95407sqft,nan,333 1000,1980,B,PD,58680.0,0.19,0.08583,0.3624,0.35286,0.19074,0.0082,0.7322,0.5232,https://42floors.com/us/tx/dallas/14114-dallas-pkwy
"Mar 10, 2018 ",32.751053,-97.351930,484391020001003,Block 1003,1,2421 w 7th st,fort-worth,76107,tx,58,Somewhat Walkable,,,73,Very Bikeable,2870sqft,NotProvided, Sublease Mixed Use Medical Retail ,",Total,Size,29,233,sqft,Lot,Size,38,346,sqft,Year,Constructed,2008,Building,Class,A,On,Site,Security,",nan,29233sqft,38346sqft,nan,2008,A,nan,68347.0,0.144,0.27989,0.19294,0.38044,0.14674,0.0,0.3438,0.0734,https://42floors.com/us/tx/fort-worth/2421-w-7th-st
